Group,File,Solver,Number of Recursive Calls,Decision Steps
uf20,test/uf20-0810.cnf,DPLL,161,80
uf20,test/uf20-0809.cnf,DPLL,131,65
uf20,test/uf20-0808.cnf,DPLL,167,83
uf20,test/uf20-0807.cnf,DPLL,215,107
uf20,test/uf20-0806.cnf,DPLL,131,65
uf20,test/uf20-0805.cnf,DPLL,193,96
uf20,test/uf20-0804.cnf,DPLL,199,99
uf20,test/uf20-0803.cnf,DPLL,257,128
uf20,test/uf20-0802.cnf,DPLL,171,85
uf20,test/uf20-0801.cnf,DPLL,91,45
uf20,test/uf20-0800.cnf,DPLL,207,103
uf20,test/uf20-0799.cnf,DPLL,241,120
uf20,test/uf20-0798.cnf,DPLL,75,37
uf20,test/uf20-0797.cnf,DPLL,183,91
uf20,test/uf20-0796.cnf,DPLL,123,61
uf20,test/uf20-0795.cnf,DPLL,155,77
uf20,test/uf20-0794.cnf,DPLL,67,33
uf20,test/uf20-0793.cnf,DPLL,157,78
uf20,test/uf20-0792.cnf,DPLL,201,100
uf20,test/uf20-0791.cnf,DPLL,129,64
uf20,test/uf20-0790.cnf,DPLL,231,115
uf20,test/uf20-0789.cnf,DPLL,103,51
uf20,test/uf20-0788.cnf,DPLL,179,89
uf20,test/uf20-0787.cnf,DPLL,183,91
uf20,test/uf20-0786.cnf,DPLL,173,86
uf20,test/uf20-0785.cnf,DPLL,213,106
uf20,test/uf20-0784.cnf,DPLL,187,93
uf20,test/uf20-0783.cnf,DPLL,85,42
uf20,test/uf20-0782.cnf,DPLL,177,88
uf20,test/uf20-0781.cnf,DPLL,237,118
uf20,test/uf20-0780.cnf,DPLL,177,88
uf20,test/uf20-0779.cnf,DPLL,119,59
uf20,test/uf20-0778.cnf,DPLL,135,67
uf20,test/uf20-0777.cnf,DPLL,213,106
uf20,test/uf20-0776.cnf,DPLL,255,127
uf20,test/uf20-0775.cnf,DPLL,173,86
uf20,test/uf20-0774.cnf,DPLL,217,108
uf20,test/uf20-0773.cnf,DPLL,157,78
uf20,test/uf20-0772.cnf,DPLL,139,69
uf20,test/uf20-0771.cnf,DPLL,153,76
uf20,test/uf20-0770.cnf,DPLL,273,136
uf20,test/uf20-0769.cnf,DPLL,137,68
uf20,test/uf20-0768.cnf,DPLL,201,100
uf20,test/uf20-0767.cnf,DPLL,261,130
uf20,test/uf20-0766.cnf,DPLL,171,85
uf20,test/uf20-0765.cnf,DPLL,283,141
uf20,test/uf20-0764.cnf,DPLL,137,68
uf20,test/uf20-0763.cnf,DPLL,199,99
uf20,test/uf20-0762.cnf,DPLL,159,79
uf20,test/uf20-0761.cnf,DPLL,145,72
uf20,test/uf20-0760.cnf,DPLL,123,61
uf20,test/uf20-0759.cnf,DPLL,141,70
uf20,test/uf20-0758.cnf,DPLL,147,73
uf20,test/uf20-0757.cnf,DPLL,91,45
uf20,test/uf20-0756.cnf,DPLL,125,62
uf20,test/uf20-0755.cnf,DPLL,309,154
uf20,test/uf20-0754.cnf,DPLL,161,80
uf20,test/uf20-0753.cnf,DPLL,125,62
uf20,test/uf20-0752.cnf,DPLL,141,70
uf20,test/uf20-0751.cnf,DPLL,159,79
uf20,test/uf20-0750.cnf,DPLL,101,50
uf20,test/uf20-0749.cnf,DPLL,159,79
uf20,test/uf20-0748.cnf,DPLL,175,87
uf20,test/uf20-0747.cnf,DPLL,143,71
uf20,test/uf20-0746.cnf,DPLL,177,88
uf20,test/uf20-0745.cnf,DPLL,213,106
uf20,test/uf20-0744.cnf,DPLL,171,85
uf20,test/uf20-0743.cnf,DPLL,195,97
uf20,test/uf20-0742.cnf,DPLL,135,67
uf20,test/uf20-0741.cnf,DPLL,191,95
uf20,test/uf20-0740.cnf,DPLL,121,60
uf20,test/uf20-0739.cnf,DPLL,133,66
uf20,test/uf20-0738.cnf,DPLL,135,67
uf20,test/uf20-0737.cnf,DPLL,187,93
uf20,test/uf20-0736.cnf,DPLL,189,94
uf20,test/uf20-0735.cnf,DPLL,147,73
uf20,test/uf20-0734.cnf,DPLL,103,51
uf20,test/uf20-0733.cnf,DPLL,111,55
uf20,test/uf20-0732.cnf,DPLL,319,159
uf20,test/uf20-0731.cnf,DPLL,197,98
uf20,test/uf20-0730.cnf,DPLL,133,66
uf20,test/uf20-0729.cnf,DPLL,221,110
uf20,test/uf20-0728.cnf,DPLL,141,70
uf20,test/uf20-0727.cnf,DPLL,217,108
uf20,test/uf20-0726.cnf,DPLL,163,81
uf20,test/uf20-0725.cnf,DPLL,189,94
uf20,test/uf20-0724.cnf,DPLL,165,82
uf20,test/uf20-0723.cnf,DPLL,191,95
uf20,test/uf20-0722.cnf,DPLL,177,88
uf20,test/uf20-0721.cnf,DPLL,137,68
uf20,test/uf20-0720.cnf,DPLL,179,89
uf20,test/uf20-0719.cnf,DPLL,109,54
uf20,test/uf20-0718.cnf,DPLL,167,83
uf20,test/uf20-0717.cnf,DPLL,239,119
uf20,test/uf20-0716.cnf,DPLL,107,53
uf20,test/uf20-0715.cnf,DPLL,189,94
uf20,test/uf20-0714.cnf,DPLL,151,75
uf20,test/uf20-0713.cnf,DPLL,135,67
uf20,test/uf20-0712.cnf,DPLL,149,74
uf20,test/uf20-0711.cnf,DPLL,213,106
uf20,test/uf20-0710.cnf,DPLL,127,63
uf20,test/uf20-0709.cnf,DPLL,143,71
uf20,test/uf20-0708.cnf,DPLL,151,75
uf20,test/uf20-0707.cnf,DPLL,185,92
uf20,test/uf20-0706.cnf,DPLL,157,78
uf20,test/uf20-0705.cnf,DPLL,245,122
uf20,test/uf20-0704.cnf,DPLL,275,137
uf20,test/uf20-0703.cnf,DPLL,273,136
uf20,test/uf20-0702.cnf,DPLL,305,152
uf20,test/uf20-0701.cnf,DPLL,189,94
uf20,test/uf20-0700.cnf,DPLL,83,41
uf20,test/uf20-0699.cnf,DPLL,103,51
uf20,test/uf20-0698.cnf,DPLL,249,124
uf20,test/uf20-0697.cnf,DPLL,307,153
uf20,test/uf20-0696.cnf,DPLL,125,62
uf20,test/uf20-0695.cnf,DPLL,171,85
uf20,test/uf20-0694.cnf,DPLL,119,59
uf20,test/uf20-0693.cnf,DPLL,151,75
uf20,test/uf20-0692.cnf,DPLL,175,87
uf20,test/uf20-0691.cnf,DPLL,145,72
uf20,test/uf20-0690.cnf,DPLL,117,58
uf20,test/uf20-0689.cnf,DPLL,273,136
uf20,test/uf20-0688.cnf,DPLL,171,85
uf20,test/uf20-0687.cnf,DPLL,255,127
uf20,test/uf20-0686.cnf,DPLL,155,77
uf20,test/uf20-0685.cnf,DPLL,215,107
uf20,test/uf20-0684.cnf,DPLL,123,61
uf20,test/uf20-0683.cnf,DPLL,117,58
uf20,test/uf20-0682.cnf,DPLL,197,98
uf20,test/uf20-0681.cnf,DPLL,231,115
uf20,test/uf20-0680.cnf,DPLL,125,62
uf20,test/uf20-0679.cnf,DPLL,157,78
uf20,test/uf20-0678.cnf,DPLL,255,127
uf20,test/uf20-0677.cnf,DPLL,123,61
uf20,test/uf20-0676.cnf,DPLL,107,53
uf20,test/uf20-0675.cnf,DPLL,127,63
uf20,test/uf20-0674.cnf,DPLL,165,82
uf20,test/uf20-0673.cnf,DPLL,223,111
uf20,test/uf20-0672.cnf,DPLL,65,32
uf20,test/uf20-0671.cnf,DPLL,155,77
uf20,test/uf20-0670.cnf,DPLL,221,110
uf20,test/uf20-0669.cnf,DPLL,137,68
uf20,test/uf20-0668.cnf,DPLL,127,63
uf20,test/uf20-0667.cnf,DPLL,109,54
uf20,test/uf20-0666.cnf,DPLL,133,66
uf20,test/uf20-0665.cnf,DPLL,261,130
uf20,test/uf20-0664.cnf,DPLL,137,68
uf20,test/uf20-0663.cnf,DPLL,231,115
uf20,test/uf20-0662.cnf,DPLL,165,82
uf20,test/uf20-0661.cnf,DPLL,175,87
uf20,test/uf20-0660.cnf,DPLL,133,66
uf20,test/uf20-0659.cnf,DPLL,245,122
uf20,test/uf20-0658.cnf,DPLL,221,110
uf20,test/uf20-0657.cnf,DPLL,129,64
uf20,test/uf20-0656.cnf,DPLL,143,71
uf20,test/uf20-0655.cnf,DPLL,127,63
uf20,test/uf20-0654.cnf,DPLL,113,56
uf20,test/uf20-0653.cnf,DPLL,289,144
uf20,test/uf20-0652.cnf,DPLL,279,139
uf20,test/uf20-0651.cnf,DPLL,131,65
uf20,test/uf20-0650.cnf,DPLL,163,81
uf20,test/uf20-0649.cnf,DPLL,193,96
uf20,test/uf20-0648.cnf,DPLL,209,104
uf20,test/uf20-0647.cnf,DPLL,177,88
uf20,test/uf20-0646.cnf,DPLL,113,56
uf20,test/uf20-0645.cnf,DPLL,165,82
uf20,test/uf20-0644.cnf,DPLL,197,98
uf20,test/uf20-0643.cnf,DPLL,197,98
uf20,test/uf20-0642.cnf,DPLL,221,110
uf20,test/uf20-0641.cnf,DPLL,105,52
uf20,test/uf20-0640.cnf,DPLL,215,107
uf20,test/uf20-0639.cnf,DPLL,93,46
uf20,test/uf20-0638.cnf,DPLL,169,84
uf20,test/uf20-0637.cnf,DPLL,153,76
uf20,test/uf20-0636.cnf,DPLL,179,89
uf20,test/uf20-0635.cnf,DPLL,163,81
uf20,test/uf20-0634.cnf,DPLL,177,88
uf20,test/uf20-0633.cnf,DPLL,289,144
uf20,test/uf20-0632.cnf,DPLL,139,69
uf20,test/uf20-0631.cnf,DPLL,127,63
uf20,test/uf20-0630.cnf,DPLL,165,82
uf20,test/uf20-0629.cnf,DPLL,225,112
uf20,test/uf20-0628.cnf,DPLL,115,57
uf20,test/uf20-0627.cnf,DPLL,127,63
uf20,test/uf20-0626.cnf,DPLL,165,82
uf20,test/uf20-0625.cnf,DPLL,113,56
uf20,test/uf20-0624.cnf,DPLL,213,106
uf20,test/uf20-0623.cnf,DPLL,107,53
uf20,test/uf20-0622.cnf,DPLL,345,172
uf20,test/uf20-0621.cnf,DPLL,141,70
uf20,test/uf20-0620.cnf,DPLL,183,91
uf20,test/uf20-0619.cnf,DPLL,221,110
uf20,test/uf20-0618.cnf,DPLL,127,63
uf20,test/uf20-0617.cnf,DPLL,147,73
uf20,test/uf20-0616.cnf,DPLL,167,83
uf20,test/uf20-0615.cnf,DPLL,125,62
uf20,test/uf20-0614.cnf,DPLL,165,82
uf20,test/uf20-0613.cnf,DPLL,137,68
uf20,test/uf20-0612.cnf,DPLL,227,113
uf20,test/uf20-0611.cnf,DPLL,163,81
uf20,test/uf20-0610.cnf,DPLL,133,66
uf20,test/uf20-0609.cnf,DPLL,247,123
uf20,test/uf20-0608.cnf,DPLL,205,102
uf20,test/uf20-0607.cnf,DPLL,147,73
uf20,test/uf20-0606.cnf,DPLL,153,76
uf20,test/uf20-0605.cnf,DPLL,163,81
uf20,test/uf20-0604.cnf,DPLL,329,164
uf20,test/uf20-0603.cnf,DPLL,205,102
uf20,test/uf20-0602.cnf,DPLL,149,74
uf20,test/uf20-0601.cnf,DPLL,253,126
uf20,test/uf20-0600.cnf,DPLL,189,94
uf20,test/uf20-0599.cnf,DPLL,217,108
uf20,test/uf20-0598.cnf,DPLL,155,77
uf20,test/uf20-0597.cnf,DPLL,193,96
uf20,test/uf20-0596.cnf,DPLL,211,105
uf20,test/uf20-0595.cnf,DPLL,123,61
uf20,test/uf20-0594.cnf,DPLL,187,93
uf20,test/uf20-0593.cnf,DPLL,161,80
uf20,test/uf20-0592.cnf,DPLL,119,59
uf20,test/uf20-0591.cnf,DPLL,149,74
uf20,test/uf20-0590.cnf,DPLL,227,113
uf20,test/uf20-0589.cnf,DPLL,145,72
uf20,test/uf20-0588.cnf,DPLL,267,133
uf20,test/uf20-0587.cnf,DPLL,217,108
uf20,test/uf20-0586.cnf,DPLL,183,91
uf20,test/uf20-0585.cnf,DPLL,123,61
uf20,test/uf20-0584.cnf,DPLL,155,77
uf20,test/uf20-0583.cnf,DPLL,153,76
uf20,test/uf20-0582.cnf,DPLL,115,57
uf20,test/uf20-0581.cnf,DPLL,145,72
uf20,test/uf20-0580.cnf,DPLL,165,82
uf20,test/uf20-0579.cnf,DPLL,253,126
uf20,test/uf20-0578.cnf,DPLL,147,73
uf20,test/uf20-0577.cnf,DPLL,223,111
uf20,test/uf20-0576.cnf,DPLL,247,123
uf20,test/uf20-0575.cnf,DPLL,141,70
uf20,test/uf20-0574.cnf,DPLL,199,99
uf20,test/uf20-0573.cnf,DPLL,149,74
uf20,test/uf20-0572.cnf,DPLL,125,62
uf20,test/uf20-0571.cnf,DPLL,177,88
uf20,test/uf20-0570.cnf,DPLL,139,69
