Group,File,Solver,Result,Time,AllocBytes(KB),instances,clause-len,vars,clauses
uf20,test/uf20-0824.cnf,DPLL,True,0.005170400,240.66,1000,3,20,91
uf20,test/uf20-0823.cnf,DPLL,True,0.007279600,1761.50,1000,3,20,91
uf20,test/uf20-0822.cnf,DPLL,True,0.004652500,919.20,1000,3,20,91
uf20,test/uf20-0821.cnf,DPLL,True,0.003279500,2603.33,1000,3,20,91
uf20,test/uf20-0820.cnf,DPLL,True,0.006192400,2670.27,1000,3,20,91
uf20,test/uf20-0819.cnf,DPLL,True,0.005729900,3353.52,1000,3,20,91
uf20,test/uf20-0818.cnf,DPLL,True,0.005551600,2384.89,1000,3,20,91
uf20,test/uf20-0817.cnf,DPLL,True,0.003988600,3604.74,1000,3,20,91
uf20,test/uf20-0816.cnf,DPLL,True,0.005109900,2440.59,1000,3,20,91
uf20,test/uf20-0815.cnf,DPLL,True,0.006786700,2463.68,1000,3,20,91
uf20,test/uf20-0814.cnf,DPLL,True,0.004515400,465.83,1000,3,20,91
uf20,test/uf20-0813.cnf,DPLL,True,0.005274100,1345.60,1000,3,20,91
uf20,test/uf20-0812.cnf,DPLL,True,0.003759400,3325.85,1000,3,20,91
uf20,test/uf20-0811.cnf,DPLL,True,0.006291900,829.69,1000,3,20,91
uf20,test/uf20-0810.cnf,DPLL,True,0.003713900,3209.65,1000,3,20,91
uf20,test/uf20-0809.cnf,DPLL,True,0.003267100,2560.16,1000,3,20,91
uf20,test/uf20-0808.cnf,DPLL,True,0.005237600,1411.20,1000,3,20,91
uf20,test/uf20-0807.cnf,DPLL,True,0.005111500,2021.50,1000,3,20,91
uf20,test/uf20-0806.cnf,DPLL,True,0.004508000,3492.67,1000,3,20,91
uf20,test/uf20-0805.cnf,DPLL,True,0.004709900,1087.88,1000,3,20,91
uf20,test/uf20-0804.cnf,DPLL,True,0.004964900,553.05,1000,3,20,91
uf20,test/uf20-0803.cnf,DPLL,True,0.005716000,3168.71,1000,3,20,91
uf20,test/uf20-0802.cnf,DPLL,True,0.004776700,848.29,1000,3,20,91
uf20,test/uf20-0801.cnf,DPLL,True,0.002867200,1536.17,1000,3,20,91
uf20,test/uf20-0800.cnf,DPLL,True,0.005785900,3197.00,1000,3,20,91
uf20,test/uf20-0799.cnf,DPLL,True,0.006216700,417.74,1000,3,20,91
uf20,test/uf20-0798.cnf,DPLL,True,0.002742500,887.71,1000,3,20,91
uf20,test/uf20-0797.cnf,DPLL,True,0.004229700,385.80,1000,3,20,91
uf20,test/uf20-0796.cnf,DPLL,True,0.003502000,2885.64,1000,3,20,91
uf20,test/uf20-0795.cnf,DPLL,True,0.004513000,347.04,1000,3,20,91
uf20,test/uf20-0794.cnf,DPLL,True,0.002492300,616.08,1000,3,20,91
uf20,test/uf20-0793.cnf,DPLL,True,0.004721500,724.87,1000,3,20,91
uf20,test/uf20-0792.cnf,DPLL,True,0.005335600,1326.62,1000,3,20,91
uf20,test/uf20-0791.cnf,DPLL,True,0.003678100,3120.40,1000,3,20,91
uf20,test/uf20-0790.cnf,DPLL,True,0.006270100,208.90,1000,3,20,91
uf20,test/uf20-0789.cnf,DPLL,True,0.003557900,2204.91,1000,3,20,91
uf20,test/uf20-0788.cnf,DPLL,True,0.006528800,1538.69,1000,3,20,91
uf20,test/uf20-0787.cnf,DPLL,True,0.005166900,2141.45,1000,3,20,91
uf20,test/uf20-0786.cnf,DPLL,True,0.004930600,1223.81,1000,3,20,91
